,name,username,profile,user_id,title,fide,country,followers,joined,last_online,current_rapid_rating,highest_rapid_rating,highest_rapid_date,rapid_win,rapid_draw,rapid_loss,current_blitz_rating,highest_blitz_rating,highest_blitz_date,blitz_win,blitz_draw,blitz_loss,current_bullet_rating,highest_bullet_rating,highest_bullet_date,bullet_win,bullet_draw,bullet_loss,highest_tactics_rating,highest_tactics_date,highest_puzzle_rush_score,is_streamer,status,league
0,Komodo Engine,komodochess,https://www.chess.com/member/KomodoChess,24944922,GM,3411.0,United States,494,07/11/2015,17/09/2018,,,,,,,,,,,,,,,,,,,400,07/11/2015,,False,premium,
1,Vojtěch Plát,vojtechplat,https://www.chess.com/member/VojtechPlat,37712368,GM,2950.0,Czech Republic,360,11/08/2017,13/07/2023,2383.0,2672.0,03/05/2020,12.0,5.0,6.0,2823.0,2914.0,14/07/2020,976.0,280.0,847.0,2661.0,2750.0,27/09/2021,32.0,8.0,47.0,3251,15/09/2021,49.0,False,premium,Bronze
2,PlayMagnus Carlsen,playmagnus,https://www.chess.com/member/PlayMagnus,19578862,GM,2882.0,Norway,199,05/11/2014,08/12/2014,,,,,,,,,,,,,,,,,,,400,05/11/2014,,False,premium,
3,Magnus Carlsen,magnuscarlsen,https://www.chess.com/member/MagnusCarlsen,3889224,GM,2882.0,Norway,142482,27/08/2010,15/07/2023,2925.0,2977.0,07/02/2023,43.0,23.0,8.0,3287.0,3322.0,21/06/2023,1402.0,292.0,334.0,3249.0,3390.0,28/03/2023,662.0,98.0,246.0,400,27/08/2010,,False,premium,Elite
4,Fabiano Caruana,fabianocaruana,https://www.chess.com/member/FabianoCaruana,11177810,GM,2835.0,United States,14445,17/03/2013,16/07/2023,2794.0,3045.0,01/09/2019,122.0,103.0,46.0,3125.0,3136.0,28/05/2023,1012.0,194.0,322.0,3030.0,3113.0,30/11/2021,713.0,65.0,203.0,3519,14/06/2023,64.0,False,premium,Crystal
5,Iuri Shkuro,iuri_shkuro,https://www.chess.com/member/Iuri_Shkuro,19134490,GM,2828.0,Ukraine,388,02/10/2014,16/07/2023,2492.0,2566.0,05/12/2021,179.0,4.0,9.0,2906.0,2906.0,25/01/2023,977.0,219.0,505.0,2798.0,2798.0,10/02/2023,390.0,36.0,192.0,2885,04/03/2023,60.0,False,premium,Silver
6,Hikaru Nakamura,hikaru,https://www.chess.com/member/Hikaru,15448422,GM,2814.0,United States,1163963,07/01/2014,16/07/2023,2781.0,2927.0,27/02/2022,156.0,157.0,39.0,3232.0,3332.0,01/04/2020,24782.0,3307.0,4284.0,3326.0,3570.0,12/11/2020,10920.0,659.0,1536.0,3427,02/11/2022,123.0,True,premium,Legend
7,Garry Kasparov,garrykasparov,https://www.chess.com/member/GarryKasparov,1647937,GM,2812.0,Russia,5672,11/12/2008,07/06/2016,,,,,,,,,,,,,,,,,,,400,11/12/2008,,False,premium,
8,Viswanathan Anand,anand,https://www.chess.com/member/Anand,8441420,GM,2800.0,India,4092,05/08/2012,15/07/2013,,,,,,,,,,,,,,,,,,,400,05/08/2012,,False,premium,
9,Levon Aronian,levonaronian,https://www.chess.com/member/LevonAronian,26897402,GM,2790.0,United States,5312,24/02/2016,12/07/2023,2781.0,2939.0,27/02/2022,77.0,69.0,31.0,3051.0,3152.0,12/11/2021,83.0,63.0,78.0,3133.0,3191.0,12/11/2020,64.0,30.0,89.0,400,24/02/2016,,False,premium,Silver
10,Alireza Firouzja,firouzja2003,https://www.chess.com/member/Firouzja2003,42022994,GM,2785.0,France,18750,05/01/2018,16/07/2023,2715.0,2837.0,04/02/2023,31.0,20.0,18.0,3100.0,3233.0,01/02/2020,6266.0,1467.0,3923.0,3264.0,3521.0,03/11/2020,11513.0,1326.0,7504.0,3118,10/03/2019,73.0,False,premium,Bronze
11,Hikaru Nakamura,gmnakamuracyborg,https://www.chess.com/member/GMNakamuraCyborg,18589608,GM,2785.0,United States,62,22/08/2014,09/07/2023,263.0,,,0.0,0.0,1.0,,,,,,,,,,,,,1205,04/03/2023,,False,premium,Wood
12,Alexander Grischuk,grischuk,https://www.chess.com/member/Grischuk,26897358,GM,2780.0,Russia,6864,24/02/2016,16/07/2023,2679.0,2837.0,21/08/2020,94.0,111.0,61.0,3029.0,3146.0,02/03/2020,953.0,427.0,487.0,3082.0,3310.0,05/10/2020,677.0,216.0,470.0,1217,13/01/2023,63.0,False,premium,Champion
13,Sergey Karjakin,sergeykarjakin,https://www.chess.com/member/SergeyKarjakin,35569958,GM,2780.0,Russia,3522,16/05/2017,07/01/2022,2735.0,2835.0,11/10/2021,1.0,4.0,0.0,3023.0,3023.0,28/10/2020,228.0,68.0,65.0,2969.0,3245.0,26/10/2020,31.0,14.0,33.0,2522,24/10/2020,56.0,False,premium,
14,Maxime Vachier-Lagrave,lyonbeast,https://www.chess.com/member/LyonBeast,17306408,GM,2780.0,France,10401,15/05/2014,15/07/2023,2754.0,2863.0,24/09/2021,41.0,27.0,18.0,3127.0,3143.0,04/01/2023,1415.0,373.0,508.0,3011.0,3224.0,13/12/2020,999.0,148.0,477.0,3721,12/07/2023,86.0,True,premium,Crystal
15,Ian Nepomniachtchi,lachesisq,https://www.chess.com/member/lachesisQ,28417564,GM,2779.0,Russia,10040,30/05/2016,12/07/2023,2728.0,2908.0,30/08/2020,75.0,60.0,29.0,3084.0,3204.0,12/01/2020,2947.0,730.0,1650.0,2977.0,3168.0,05/10/2020,223.0,44.0,170.0,3605,12/05/2023,74.0,True,premium,Crystal
16,Anish Giri,anishgiri,https://www.chess.com/member/AnishGiri,22252178,GM,2776.0,Netherlands,8594,05/05/2015,08/07/2023,2686.0,2852.0,04/12/2020,74.0,77.0,35.0,3087.0,3115.0,08/12/2022,318.0,140.0,138.0,3224.0,3296.0,08/12/2022,141.0,53.0,75.0,3408,25/04/2020,53.0,False,premium,Crystal
17,Shakhriyar Mamedyarov,mamedyarov_twitch,https://www.chess.com/member/Mamedyarov_twitch,131154240,GM,2770.0,Azerbaijan,348,26/03/2021,31/05/2021,,,,,,,2990.0,3012.0,07/04/2021,204.0,25.0,65.0,3054.0,3084.0,03/05/2021,105.0,14.0,66.0,1200,26/03/2021,61.0,False,premium,
18,Timur Gareev,gareev-sea,https://www.chess.com/member/Gareev-SEA,13239442,GM,2768.0,United States,3,22/08/2013,30/10/2017,,,,,,,,,,,,,,,,,,,400,22/08/2013,,False,premium,
19,Harikrishna Pentala,gmharikrishna,https://www.chess.com/member/GMharikrishna,5255781,GM,2768.0,India,1287,11/06/2011,16/07/2023,2642.0,2869.0,09/09/2021,20.0,24.0,14.0,2978.0,3055.0,06/12/2022,529.0,194.0,523.0,3020.0,3020.0,16/11/2020,618.0,114.0,569.0,3809,12/07/2023,69.0,False,premium,Bronze
20,Teimour Radjabov,tradjabov,https://www.chess.com/member/TRadjabov,18202610,GM,2765.0,Azerbaijan,2013,24/07/2014,16/07/2023,2671.0,2848.0,08/09/2021,18.0,24.0,9.0,3020.0,3089.0,30/11/2022,113.0,11.0,22.0,3040.0,3062.0,05/12/2020,124.0,16.0,48.0,3335,06/07/2023,29.0,False,premium,Wood
21,Anish Giri,anishonyoutube,https://www.chess.com/member/AnishOnYoutube,85851574,GM,2764.0,Netherlands,5263,06/07/2020,06/12/2022,2948.0,2948.0,06/11/2020,29.0,4.0,0.0,3009.0,3019.0,18/11/2020,215.0,48.0,60.0,3155.0,3200.0,01/12/2020,173.0,41.0,88.0,1763,23/08/2020,53.0,False,premium,
22,Vladimir Kramnik,vladimirkramnik,https://www.chess.com/member/VladimirKramnik,68294742,GM,2753.0,Russia,1028,22/11/2019,16/07/2023,2717.0,2960.0,03/07/2022,34.0,26.0,20.0,2972.0,3066.0,22/02/2023,400.0,95.0,199.0,,,,,,,1200,22/11/2019,,False,premium,Stone
23,Leinier Dominguez Perez,sebastian,https://www.chess.com/member/Sebastian,19314948,GM,2751.0,United States,1209,16/10/2014,16/07/2023,2648.0,2880.0,24/09/2021,43.0,30.0,22.0,2932.0,3053.0,06/04/2020,1164.0,352.0,665.0,2940.0,3098.0,27/09/2022,515.0,79.0,322.0,3617,19/01/2018,81.0,True,premium,Silver
24,Alex Onischuk,alexonischuk,https://www.chess.com/member/AlexOnischuk,4268408,GM,2742.0,United States,121,18/11/2010,13/07/2023,1517.0,2705.0,05/12/2020,44.0,3.0,29.0,2196.0,2345.0,01/12/2020,80.0,1.0,7.0,,,,,,,3650,13/07/2023,55.0,False,premium,Wood
