#,Name,Classic,Rapid,Blitz,Age,% Wins_lt,% Draws_lt,% Losses_lt,Current_rapid_rating,Current_blitz_rating,Wins_online,Draws_online,Losses_online
1,"Carlsen, Magnus",2838.4,2825.0,2887.0,32,48.53,35.27,16.2,2925.0,3287.0,68.74,14.99,16.27
2,"Caruana, Fabiano",2782.6,2767.4,2813.0,31,42.75,34.49,22.76,2794.0,3125.0,63.04,16.51,20.46
3,"Nakamura, Hikaru",2782.6,2744.8,2874.0,35,51.91,31.9,16.19,2781.0,3232.0,76.2,10.59,13.21
4,"Ding, Liren",2780.0,2830.0,2787 i,30,52.68,23.82,23.5,,,,,
5,"Firouzja, Alireza",2777.0,2742.0,2896.0,20,40.26,39.02,20.72,2715.0,3100.0,53.71,12.68,33.61
6,"Nepomniachtchi, Ian",2774.8,2763.2,2785.0,33,40.26,39.02,20.72,2728.0,3084.0,55.04,14.39,30.58
7,"So, Wesley",2760.6,2783.2,2765.0,29,39.11,43.79,17.09,2856.0,3108.0,54.11,21.59,24.3
8,"Giri, Anish",2759.6,2696.2,2751.6,29,32.51,48.02,19.46,2686.0,3087.0,50.13,27.75,22.12
9,Gukesh D,2758.6,2629.0,2659.0,17,30.94,22.01,47.05,,,,,
10,"Anand, Viswanathan",2754.0,2751.0,2709.0,53,36.44,48.8,14.75,,,,,
11,"Rapport, Richard",2752.0,2752.0,2748.0,27,41.14,37.0,21.86,2744.0,3033.0,54.13,14.51,31.36
12,"Karjakin, Sergey",2750.0,2729.0,2647 i,33,38.17,42.29,19.53,2735.0,3023.0,62.57,19.67,17.76
13,"Dominguez Perez, Leinier",2746.8,2705.0,2654.0,39,33.91,44.99,21.1,,,,,
14,"Radjabov, Teimour",2745.0,2679.8,2707.0,36,29.01,53.4,17.59,2671.0,3020.0,66.5,17.77,15.74
15,"Aronian, Levon",2742.0,2763.0,2750.0,40,34.29,45.23,20.48,2781.0,3051.0,39.9,32.92,27.18
16,"Mamedyarov, Shakhriyar",2737.6,2711.0,2722.0,38,41.27,37.32,21.41,,2990.0,,,
17,"Le, Quang Liem",2733.2,2652.8,2665.0,32,47.06,29.84,23.1,,,,,
18,"Grischuk, Alexander",2731.8,2710.8,2686.6,39,41.44,40.69,17.86,2679.0,3029.0,49.09,25.22,25.69
19,"Duda, Jan-Krzysztof",2730.0,2762.0,2751.0,25,47.06,29.84,23.1,2755.0,3003.0,57.79,11.26,30.95
20,"Vachier-Lagrave, Maxime",2727.4,2760.0,2722.0,32,41.44,40.69,17.86,2754.0,3127.0,61.13,16.79,22.08
21,"Topalov, Veselin",2727.0,2632.0,2657 i,48,42.05,42.14,15.81,2582.0,,,,
22,"Wei, Yi",2725.6,2733.8,2661.0,24,39.27,45.65,15.09,,,,,
23,"Yu, Yangyi",2719.8,2699.2,2745.0,29,42.05,42.14,15.81,,,,,
24,"Vitiugov, Nikita",2718.6,2617 i,2673 i,36,50.08,25.47,24.45,2478.0,2845.0,54.9,16.18,28.92
25,"Vidit, Santosh Gujrathi",2718.0,2670.8,2624.5,28,43.61,36.33,20.06,,,,,
26,"Abdusattorov, Nodirbek",2716.2,2724.0,2708.0,18,50.08,25.47,24.45,2817.0,2989.0,52.48,13.47,34.05
27,Praggnanandhaa R,2714.6,2645.0,2623.0,17,28.64,24.45,46.91,,,,,
28,"Keymer, Vincent",2713.5,2636.0,2645.0,18,50.07,23.06,26.88,2671.0,3001.0,44.99,14.45,40.57
29,"Vallejo Pons, Francisco",2712.2,2651.2,2589.0,40,39.92,38.75,21.34,,,,,
30,"Harikrishna, Pentala",2711.0,2630.0,2634.0,37,25.0,60.71,14.29,,,,,
31,"Dubov, Daniil",2709.6,2723.0,2778.0,27,47.9,31.9,20.2,2681.0,3088.0,56.27,14.13,29.61
32,"Maghsoodloo, Parham",2707.0,2683.0,2660.0,22,52.59,24.13,23.28,2645.0,2984.0,49.36,12.21,38.43
33,"Sjugirov, Sanan",2705.0,2571.0,2569.0,30,50.05,26.35,23.6,2624.0,2949.0,55.3,12.68,32.02
34,Erigaisi Arjun,2704.8,2679.2,2737.0,19,32.31,24.77,42.92,,,,,
35,"Deac, Bogdan-Daniel",2702.4,2612.6,2641.0,21,53.48,25.71,20.81,,,,,
36,"Robson, Ray",2701.4,2596.0,2665.0,28,42.42,32.39,25.19,2682.0,2828.0,58.04,8.25,33.71
37,"Wang, Hao",2700.0,2714.0,2624.0,34,38.75,41.84,19.42,,,,,
38,"Van Foreest, Jorden",2699.2,2656.2,2664.0,24,45.59,28.49,25.92,,,,,
39,"Artemiev, Vladislav",2698.0,2726.0,2799.0,25,48.72,34.74,16.54,,2722.0,,,
40,"Sevian, Samuel",2698.0,2581.0,2695.0,22,46.92,31.33,21.75,,1333.0,,,
41,"Shankland, Sam",2697.8,2597.0,2668.0,31,17.66,38.51,43.83,2673.0,,,,
42,"Eljanov, Pavel",2695.0,2641.0,2598.0,40,42.29,34.96,22.74,2643.0,2903.0,43.16,15.04,41.8
43,"Tomashevsky, Evgeny",2694.0,2642.0,2663.0,36,34.69,50.5,14.81,2542.0,2988.0,50.85,19.7,29.45
44,"Xiong, Jeffery",2693.0,2727.0,2726.0,22,52.19,27.4,20.4,2712.0,2964.0,62.17,17.61,20.22
45,"Sargissian, Gabriel",2692.0,2612.0,2579.0,39,38.58,46.08,15.34,2468.0,2914.0,48.19,18.48,33.33
46,Nihal Sarin,2691.8,2674.4,2689.0,19,29.13,32.05,38.82,,,,,
