#,name,Classic,Rapid,Blitz,Age,Wins,Draws,Losses,Unnamed: 0,username,title,fide,country,current_rapid_rating,highest_rapid_rating,rapid_win,rapid_draw,rapid_loss,current_blitz_rating,highest_blitz_rating,blitz_win,blitz_draw,blitz_loss,current_bullet_rating,highest_bullet_rating,bullet_win,bullet_draw,bullet_loss
1,"Carlsen, Magnus",2838.4,2825.0,2887.0,32,2879 (48.53 %),718 (35.27 %),961 (16.2 %),3.0,magnuscarlsen,GM,2882.0,Norway,2925.0,2977.0,43.0,23.0,8.0,3287.0,3322.0,1402.0,292.0,334.0,3249.0,3390.0,662.0,98.0,246.0
2,"Caruana, Fabiano",2782.6,2767.4,2813.0,31,2025 (42.75 %),547 (34.49 %),1078 (22.76 %),4.0,fabianocaruana,GM,2835.0,United States,2794.0,3045.0,122.0,103.0,46.0,3125.0,3136.0,1012.0,194.0,322.0,3030.0,3113.0,713.0,65.0,203.0
3,"Nakamura, Hikaru",2782.6,2744.8,2874.0,35,,,,6.0,hikaru,GM,2814.0,United States,2781.0,2927.0,156.0,157.0,39.0,3232.0,3332.0,24782.0,3307.0,4284.0,3326.0,3570.0,10920.0,659.0,1536.0
3,"Nakamura, Hikaru",2782.6,2744.8,2874.0,35,,,,11.0,gmnakamuracyborg,GM,2785.0,United States,263.0,,0.0,0.0,1.0,,,,,,,,,,
3,"Nakamura, Hikaru",2782.6,2744.8,2874.0,35,,,,29.0,hikarunakamura,GM,2729.0,United States,,,,,,,,,,,,,,,
3,"Nakamura, Hikaru",2782.6,2744.8,2874.0,35,,,,1149.0,gmhikaruontwitch,GM,,Austria,2627.0,2693.0,9.0,3.0,1.0,2908.0,3074.0,3254.0,148.0,176.0,3141.0,3369.0,323.0,7.0,13.0
4,"Ding, Liren",2780.0,2830.0,2787 i,30,760 (33.48 %),413 (47.4 %),434 (19.12 %),,,,,,,,,,,,,,,,,,,,
5,"Firouzja, Alireza",2777.0,2742.0,2896.0,20,1484 (52.68 %),223 (23.82 %),662 (23.5 %),10.0,firouzja2003,GM,2785.0,France,2715.0,2837.0,31.0,20.0,18.0,3100.0,3233.0,6266.0,1467.0,3923.0,3264.0,3521.0,11513.0,1326.0,7504.0
6,"Nepomniachtchi, Ian",2774.8,2763.2,2785.0,33,1566 (40.26 %),589 (39.02 %),806 (20.72 %),15.0,lachesisq,GM,2779.0,Russia,2728.0,2908.0,75.0,60.0,29.0,3084.0,3204.0,2947.0,730.0,1650.0,2977.0,3168.0,223.0,44.0,170.0
7,"So, Wesley",2760.6,2783.2,2765.0,29,1588 (39.11 %),586 (43.79 %),694 (17.09 %),1161.0,gmwso,GM,,United States,2856.0,2938.0,104.0,111.0,35.0,3108.0,3192.0,1292.0,446.0,592.0,3047.0,3206.0,749.0,153.0,375.0
